channel,region,fresh,milk,grocery,frozen,detergents_Paper,delicassen,id
1,3,9203,3373,2707,1286,1082,526,148
1,3,5924,584,542,4052,283,434,149
1,3,31812,1433,1651,800,113,1440,150
1,3,16225,1825,1765,853,170,1067,151
1,3,1289,3328,2022,531,255,1774,152
1,3,18840,1371,3135,3001,352,184,153
1,3,3463,9250,2368,779,302,1627,154
1,3,622,55,137,75,7,8,155
2,3,1989,10690,19460,233,11577,2153,156
2,3,3830,5291,14855,317,6694,3182,157
1,3,17773,1366,2474,3378,811,418,158
2,3,2861,6570,9618,930,4004,1682,159
2,3,355,7704,14682,398,8077,303,160
2,3,1725,3651,12822,824,4424,2157,161
1,3,12434,540,283,1092,3,2233,162
1,3,15177,2024,3810,2665,232,610,163
2,3,5531,15726,26870,2367,13726,446,164
2,3,5224,7603,8584,2540,3674,238,165
2,3,15615,12653,19858,4425,7108,2379,166
2,3,4822,6721,9170,993,4973,3637,167
1,3,2926,3195,3268,405,1680,693,168
1,3,5809,735,803,1393,79,429,169
1,3,5414,717,2155,2399,69,750,170
2,3,260,8675,13430,1116,7015,323,171
2,3,200,25862,19816,651,8773,6250,172
1,3,955,5479,6536,333,2840,707,173
2,3,514,7677,19805,937,9836,716,174
1,3,286,1208,5241,2515,153,1442,175
2,3,2343,7845,11874,52,4196,1697,176
1,3,45640,6958,6536,7368,1532,230,177
1,3,12759,7330,4533,1752,20,2631,178
1,3,11002,7075,4945,1152,120,395,179
1,3,3157,4888,2500,4477,273,2165,180
1,3,12356,6036,8887,402,1382,2794,181
1,3,112151,29627,18148,16745,4948,8550,182
1,3,694,8533,10518,443,6907,156,183
1,3,36847,43950,20170,36534,239,47943,184
1,3,327,918,4710,74,334,11,185
1,3,8170,6448,1139,2181,58,247,186
1,3,3009,521,854,3470,949,727,187
1,3,2438,8002,9819,6269,3459,3,188
2,3,8040,7639,11687,2758,6839,404,189
2,3,834,11577,11522,275,4027,1856,190
1,3,16936,6250,1981,7332,118,64,191
1,3,13624,295,1381,890,43,84,192
1,3,5509,1461,2251,547,187,409,193
2,3,180,3485,20292,959,5618,666,194
1,3,7107,1012,2974,806,355,1142,195
1,3,17023,5139,5230,7888,330,1755,196
1,1,30624,7209,4897,18711,763,2876,197
2,1,2427,7097,10391,1127,4314,1468,198
1,1,11686,2154,6824,3527,592,697,199
1,1,9670,2280,2112,520,402,347,200
2,1,3067,13240,23127,3941,9959,731,201
2,1,4484,14399,24708,3549,14235,1681,202
1,1,25203,11487,9490,5065,284,6854,203
1,1,583,685,2216,469,954,18,204
1,1,1956,891,5226,1383,5,1328,205
2,1,1107,11711,23596,955,9265,710,206
1,1,6373,780,950,878,288,285,207
2,1,2541,4737,6089,2946,5316,120,208
1,1,1537,3748,5838,1859,3381,806,209
2,1,5550,12729,16767,864,12420,797,210
1,1,18567,1895,1393,1801,244,2100,211
2,1,12119,28326,39694,4736,19410,2870,212
1,1,7291,1012,2062,1291,240,1775,213
1,1,3317,6602,6861,1329,3961,1215,214
2,1,2362,6551,11364,913,5957,791,215
1,1,2806,10765,15538,1374,5828,2388,216
2,1,2532,16599,36486,179,13308,674,217
1,1,18044,1475,2046,2532,130,1158,218
2,1,18,7504,15205,1285,4797,6372,219
1,1,4155,367,1390,2306,86,130,220
1,1,14755,899,1382,1765,56,749,221
1,1,5396,7503,10646,91,4167,239,222
1,1,5041,1115,2856,7496,256,375,223
2,1,2790,2527,5265,5612,788,1360,224
1,1,7274,659,1499,784,70,659,225
1,1,12680,3243,4157,660,761,786,226
2,1,20782,5921,9212,1759,2568,1553,227
1,1,4042,2204,1563,2286,263,689,228
1,1,1869,577,572,950,4762,203,229
1,1,8656,2746,2501,6845,694,980,230
2,1,11072,5989,5615,8321,955,2137,231
1,1,2344,10678,3828,1439,1566,490,232
1,1,25962,1780,3838,638,284,834,233
1,1,964,4984,3316,937,409,7,234
1,1,15603,2703,3833,4260,325,2563,235
1,1,1838,6380,2824,1218,1216,295,236
1,1,8635,820,3047,2312,415,225,237
1,1,18692,3838,593,4634,28,1215,238
1,1,7363,475,585,1112,72,216,239
1,1,47493,2567,3779,5243,828,2253,240
1,1,22096,3575,7041,11422,343,2564,241
1,1,24929,1801,2475,2216,412,1047,242
1,1,18226,659,2914,3752,586,578,243
1,1,11210,3576,5119,561,1682,2398,244
1,1,6202,7775,10817,1183,3143,1970,245
2,1,3062,6154,13916,230,8933,2784,246
1,1,8885,2428,1777,1777,430,610,247
1,1,13569,346,489,2077,44,659,248
1,1,15671,5279,2406,559,562,572,249
1,1,8040,3795,2070,6340,918,291,250
1,1,3191,1993,1799,1730,234,710,251
2,1,6134,23133,33586,6746,18594,5121,252
1,1,6623,1860,4740,7683,205,1693,253
1,1,29526,7961,16966,432,363,1391,254
1,1,10379,17972,4748,4686,1547,3265,255
1,1,31614,489,1495,3242,111,615,256
1,1,11092,5008,5249,453,392,373,257
1,1,8475,1931,1883,5004,3593,987,258
1,1,56083,4563,2124,6422,730,3321,259
1,1,53205,4959,7336,3012,967,818,260
1,1,9193,4885,2157,327,780,548,261
1,1,7858,1110,1094,6818,49,287,262
1,1,23257,1372,1677,982,429,655,263
1,1,2153,1115,6684,4324,2894,411,264
2,1,1073,9679,15445,61,5980,1265,265
1,1,5909,23527,13699,10155,830,3636,266
2,1,572,9763,22182,2221,4882,2563,267
1,1,20893,1222,2576,3975,737,3628,268
2,1,11908,8053,19847,1069,6374,698,269
1,1,15218,258,1138,2516,333,204,270
1,1,4720,1032,975,5500,197,56,271
1,1,2083,5007,1563,1120,147,1550,272
1,1,514,8323,6869,529,93,1040,273
1,3,36817,3045,1493,4802,210,1824,274
1,3,894,1703,1841,744,759,1153,275
1,3,680,1610,223,862,96,379,276
1,3,27901,3749,6964,4479,603,2503,277
1,3,9061,829,683,16919,621,139,278
1,3,11693,2317,2543,5845,274,1409,279
2,3,17360,6200,9694,1293,3620,1721,280
1,3,3366,2884,2431,977,167,1104,281
2,3,12238,7108,6235,1093,2328,2079,282
1,3,49063,3965,4252,5970,1041,1404,283
1,3,25767,3613,2013,10303,314,1384,284
1,3,68951,4411,12609,8692,751,2406,285
1,3,40254,640,3600,1042,436,18,286
1,3,7149,2247,1242,1619,1226,128,287
1,3,15354,2102,2828,8366,386,1027,288
1,3,16260,594,1296,848,445,258,289
1,3,42786,286,471,1388,32,22,290
1,3,2708,2160,2642,502,965,1522,291
1,3,6022,3354,3261,2507,212,686,292
1,3,2838,3086,4329,3838,825,1060,293
2,2,3996,11103,12469,902,5952,741,294
1,2,21273,2013,6550,909,811,1854,295
2,2,7588,1897,5234,417,2208,254,296
1,2,19087,1304,3643,3045,710,898,297
2,2,8090,3199,6986,1455,3712,531,298
2,2,6758,4560,9965,934,4538,1037,299
1,2,444,879,2060,264,290,259,300
2,2,16448,6243,6360,824,2662,2005,301
2,2,5283,13316,20399,1809,8752,172,302
2,2,2886,5302,9785,364,6236,555,303
2,2,2599,3688,13829,492,10069,59,304
2,2,161,7460,24773,617,11783,2410,305
2,2,243,12939,8852,799,3909,211,306
2,2,6468,12867,21570,1840,7558,1543,307
1,2,17327,2374,2842,1149,351,925,308
1,2,6987,1020,3007,416,257,656,309
2,2,918,20655,13567,1465,6846,806,310
1,2,7034,1492,2405,12569,299,1117,311
1,2,29635,2335,8280,3046,371,117,312
2,2,2137,3737,19172,1274,17120,142,313
1,2,9784,925,2405,4447,183,297,314
1,2,10617,1795,7647,1483,857,1233,315
2,2,1479,14982,11924,662,3891,3508,316
1,2,7127,1375,2201,2679,83,1059,317
1,2,1182,3088,6114,978,821,1637,318
1,2,11800,2713,3558,2121,706,51,319
2,2,9759,25071,17645,1128,12408,1625,320
1,2,1774,3696,2280,514,275,834,321
1,2,9155,1897,5167,2714,228,1113,322
1,2,15881,713,3315,3703,1470,229,323
1,2,13360,944,11593,915,1679,573,324
1,2,25977,3587,2464,2369,140,1092,325
1,2,32717,16784,13626,60869,1272,5609,326
1,2,4414,1610,1431,3498,387,834,327
1,2,542,899,1664,414,88,522,328
1,2,16933,2209,3389,7849,210,1534,329
1,2,5113,1486,4583,5127,492,739,330
1,2,9790,1786,5109,3570,182,1043,331
2,2,11223,14881,26839,1234,9606,1102,332
1,2,22321,3216,1447,2208,178,2602,333
2,2,8565,4980,67298,131,38102,1215,334
2,2,16823,928,2743,11559,332,3486,335
2,2,27082,6817,10790,1365,4111,2139,336
1,2,13970,1511,1330,650,146,778,337
1,2,9351,1347,2611,8170,442,868,338
1,2,3,333,7021,15601,15,550,339
1,2,2617,1188,5332,9584,573,1942,340
2,3,381,4025,9670,388,7271,1371,341
2,3,2320,5763,11238,767,5162,2158,342
1,3,255,5758,5923,349,4595,1328,343
2,3,1689,6964,26316,1456,15469,37,344
1,3,3043,1172,1763,2234,217,379,345
1,3,1198,2602,8335,402,3843,303,346
2,3,2771,6939,15541,2693,6600,1115,347
2,3,27380,7184,12311,2809,4621,1022,348
1,3,3428,2380,2028,1341,1184,665,349
2,3,5981,14641,20521,2005,12218,445,350
1,3,3521,1099,1997,1796,173,995,351
2,3,1210,10044,22294,1741,12638,3137,352
1,3,608,1106,1533,830,90,195,353
2,3,117,6264,21203,228,8682,1111,354
1,3,14039,7393,2548,6386,1333,2341,355
1,3,190,727,2012,245,184,127,356
1,3,22686,134,218,3157,9,548,357
2,3,37,1275,22272,137,6747,110,358
1,3,759,18664,1660,6114,536,4100,359
